n;q;ms;burn_in_iter:2;max_b:8;min_b:3;iter:1;max_n:6000
200;3;0.0104392
200;4;0.011188
200;5;0.0133817
200;6;0.0131329
200;7;0.0133504
200;8;0.0132207
200;0;0.0174769
300;3;0.0296913
300;4;0.0328546
300;5;0.0328569
300;6;0.0394861
300;7;0.03962
300;8;0.039709
300;0;0.0546741
400;3;0.0638535
400;4;0.0722332
400;5;0.0721574
400;6;0.0894899
400;7;0.0885295
400;8;0.0885635
400;0;0.125874
500;3;0.113517
500;4;0.1353
500;5;0.135226
500;6;0.164955
500;7;0.165135
500;8;0.164869
500;0;0.242688
600;3;0.207932
600;4;0.200343
600;5;0.22328
600;6;0.223703
600;7;0.278259
600;8;0.277851
600;0;0.4196
700;3;0.34884
700;4;0.318647
700;5;0.354214
700;6;0.35337
700;7;0.435444
700;8;0.435978
700;0;0.668689
800;3;0.555907
800;4;0.4852
800;5;0.539718
800;6;0.537162
800;7;0.652699
800;8;0.655106
800;0;1.01771
900;3;0.807978
900;4;0.691692
900;5;0.77258
900;6;0.776057
900;7;0.935022
900;8;0.934855
900;0;1.45818
200;3;0.010839
200;4;0.0116125
200;5;0.0143524
200;6;0.0140526
200;7;0.0143724
200;8;0.0132759
200;0;0.0178393
300;3;0.0304208
300;4;0.0333171
300;5;0.0332632
300;6;0.0401827
300;7;0.0402022
300;8;0.0401446
300;0;0.0549719
400;3;0.0647458
400;4;0.0728481
400;5;0.0744095
400;6;0.0893815
400;7;0.0892604
400;8;0.0896156
400;0;0.126541
500;3;0.114219
500;4;0.134978
500;5;0.135746
500;6;0.166453
500;7;0.165679
500;8;0.1656
500;0;0.244549
600;3;0.207555
600;4;0.202919
600;5;0.224457
600;6;0.224942
600;7;0.278118
600;8;0.278375
600;0;0.419906
700;3;0.349703
700;4;0.320242
700;5;0.353207
700;6;0.353945
700;7;0.435724
700;8;0.436367
700;0;0.668629
800;3;0.551521
800;4;0.486471
800;5;0.539507
800;6;0.541108
800;7;0.655849
800;8;0.653386
800;0;1.01838
900;3;0.814671
900;4;0.692702
900;5;0.774361
900;6;0.774135
900;7;0.936059
900;8;0.934488
900;0;1.45774
200;3;0.0108058
200;4;0.0118061
200;5;0.0140596
200;6;0.0132779
200;7;0.0139047
200;8;0.0133034
200;0;0.0178476
300;3;0.0305845
300;4;0.0334525
300;5;0.0333079
300;6;0.0402028
300;7;0.0401229
300;8;0.0404468
300;0;0.0554038
400;3;0.0646668
400;4;0.0728152
400;5;0.0729442
400;6;0.0894057
400;7;0.0892044
400;8;0.0896863
400;0;0.128147
500;3;0.116548
500;4;0.135832
500;5;0.135667
500;6;0.166313
500;7;0.166275
500;8;0.165608
500;0;0.255719
600;3;0.208142
600;4;0.200993
600;5;0.224297
600;6;0.224873
600;7;0.278905
600;8;0.279114
600;0;0.422996
700;3;0.350421
700;4;0.322689
700;5;0.354372
700;6;0.354175
700;7;0.436879
700;8;0.444492
700;0;0.673019
800;3;0.550824
800;4;0.486442
800;5;0.538408
800;6;0.540522
800;7;0.65379
800;8;0.660634
800;0;1.02148
900;3;0.813218
